strategie,quality,commodity,prompt_tokens,completion_tokens,total_tokens,latency_ms,cost_usd,cost_czk,f1,null_rate
few_shot,Q2,plyn_mo,7713,123,7836,883.2066059112549,0.0008205,0.01928175,0.1818181818181818,0.2
chain_of_thought,Q2,plyn_mo,5600,98,5698,1011.6324424743652,0.0005992,0.0140812,0.1818181818181818,0.3
zero_shot,Q2,plyn_mo,4641,119,4760,1019.766092300415,0.0005117,0.01202495,0.0,0.0
zero_shot_rules,Q2,plyn_mo,5460,111,5571,978.2142639160156,0.0005903999999999,0.0138743999999999,0.0,0.0
few_shot,Q2,plyn_mo,7622,134,7756,972.348690032959,0.0008158,0.0191713,0.1818181818181818,0.0
chain_of_thought,Q2,plyn_mo,5509,112,5621,1088.9654159545898,0.0005956999999999,0.0139989499999999,0.0,0.0
zero_shot,Q2,plyn_mo,4562,116,4678,975.837469100952,0.0005026,0.0118111,0.0,0.0
zero_shot_rules,Q2,plyn_mo,5381,113,5494,1070.9905624389648,0.0005833,0.01370755,0.1818181818181818,0.0
few_shot,Q2,plyn_mo,7543,137,7680,924.5004653930664,0.0008091,0.01901385,0.1818181818181818,0.0
chain_of_thought,Q2,plyn_mo,5430,113,5543,1015.9173011779784,0.0005882,0.0138227,0.1818181818181818,0.0
zero_shot,Q1,plyn_vo,6428,208,6636,1242.41304397583,0.000726,0.017061,0.6666666666666666,0.2
zero_shot_rules,Q1,plyn_vo,7691,154,7845,1017.5151824951172,0.0008307,0.01952145,0.0,1.0
few_shot,Q1,plyn_vo,9443,245,9688,1351.3946533203125,0.0010423,0.02449405,0.6666666666666666,0.0
chain_of_thought,Q1,plyn_vo,7740,154,7894,1028.6295413970947,0.0008356,0.0196366,0.0,1.0
zero_shot,Q2,plyn_vo,6053,217,6270,1222.9022979736328,0.0006921,0.01626435,0.6666666666666666,0.0
zero_shot_rules,Q2,plyn_vo,7316,214,7530,1199.6140480041504,0.0008172,0.0192042,0.6666666666666667,0.1
few_shot,Q2,plyn_vo,9068,264,9332,1257.2393417358398,0.0010124,0.0237914,0.8235294117647058,0.0
chain_of_thought,Q2,plyn_vo,7365,210,7575,1208.3394527435305,0.0008205,0.01928175,0.75,0.2
zero_shot,Q1,plyn_vo,6668,213,6881,1219.5837497711182,0.000752,0.017672,0.7499999999999999,0.0
zero_shot_rules,Q1,plyn_vo,7931,210,8141,1621.9029426574707,0.0008771,0.02061185,0.7499999999999999,0.0
few_shot,Q1,plyn_vo,9683,258,9941,1286.8492603302002,0.0010715,0.0251802499999999,0.7499999999999999,0.0
chain_of_thought,Q1,plyn_vo,7980,253,8233,1357.3329448699951,0.0008992,0.0211312,0.7499999999999999,0.0
zero_shot,Q3,plyn_vo,6434,224,6658,1349.2488861083984,0.000733,0.0172255,0.5714285714285715,0.0
zero_shot_rules,Q3,plyn_vo,7697,208,7905,1233.311414718628,0.0008529,0.02004315,0.7499999999999999,0.0
few_shot,Q3,plyn_vo,9449,269,9718,1335.0529670715332,0.0010525,0.02473375,0.7499999999999999,0.0
chain_of_thought,Q3,plyn_vo,7746,211,7957,1229.4914722442627,0.000859,0.0201865,0.7499999999999999,0.0
zero_shot,Q3,plyn_vo,5965,222,6187,1464.8096561431885,0.0006852999999999,0.01610455,0.6666666666666666,0.0
zero_shot_rules,Q3,plyn_vo,7228,219,7447,1265.9127712249756,0.0008104,0.0190444,0.6666666666666666,0.0
few_shot,Q3,plyn_vo,8980,253,9233,1436.936855316162,0.0009992,0.0234812,0.8235294117647058,0.0
chain_of_thought,Q3,plyn_vo,7277,222,7499,1377.788782119751,0.0008165,0.01918775,0.6666666666666666,0.0
zero_shot,Q3,teplo,1249,111,1360,925.5828857421876,0.0001693,0.00397855,0.5714285714285715,0.0
zero_shot_rules,Q3,teplo,2031,105,2136,793.2164669036865,0.0002451,0.00575985,0.5714285714285715,0.0
few_shot,Q3,teplo,2705,125,2830,1081.4387798309326,0.0003205,0.0075317499999999,0.3333333333333333,0.0
chain_of_thought,Q3,teplo,2080,106,2186,783.3974361419678,0.0002504,0.0058844,0.3333333333333333,0.0
zero_shot,Q1,teplo,4741,87,4828,1038.0809307098389,0.0005089,0.01195915,0.3333333333333333,0.5
zero_shot_rules,Q1,teplo,5523,86,5609,787.1105670928955,0.0005867,0.01378745,0.3333333333333333,0.5
few_shot,Q1,teplo,6197,125,6322,840.268611907959,0.0006697,0.01573795,0.6666666666666666,0.0
chain_of_thought,Q1,teplo,5572,99,5671,1097.731113433838,0.0005968,0.0140248,0.5714285714285714,0.1
zero_shot,Q1,teplo,1254,115,1369,933.0735206604004,0.0001714,0.0040279,0.5714285714285715,0.0
zero_shot_rules,Q1,teplo,2036,108,2144,753.1421184539795,0.0002468,0.0057998,0.7499999999999999,0.0
few_shot,Q1,teplo,2710,124,2834,857.0449352264404,0.0003206,0.0075341,0.8235294117647058,0.0
chain_of_thought,Q1,teplo,2085,105,2190,837.9523754119873,0.0002505,0.00588675,0.7499999999999999,0.0
zero_shot,Q1,teplo,1254,108,1362,765.2106285095215,0.0001686,0.0039621,0.7499999999999999,0.0
zero_shot_rules,Q1,teplo,2036,106,2142,819.892168045044,0.000246,0.005781,0.8235294117647058,0.0
few_shot,Q1,teplo,2710,126,2836,857.3935031890869,0.0003213999999999,0.0075528999999999,0.888888888888889,0.0
chain_of_thought,Q1,teplo,2085,106,2191,756.4599514007568,0.0002509,0.00589615,0.8235294117647058,0.0
zero_shot,Q3,teplo,1299,108,1407,823.9316940307617,0.0001731,0.00406785,0.6666666666666666,0.0
zero_shot_rules,Q3,teplo,2081,106,2187,702.1803855895996,0.0002505,0.00588675,0.7499999999999999,0.0
few_shot,Q3,teplo,2755,127,2882,853.884220123291,0.0003263,0.00766805,0.8235294117647058,0.0
chain_of_thought,Q3,teplo,2130,106,2236,764.960527420044,0.0002554,0.0060019,0.7499999999999999,0.0
zero_shot,Q1,voda,3139,120,3259,1366.643667221069,0.0003619,0.00850465,0.9523809523809524,0.0
zero_shot_rules,Q1,voda,3975,119,4094,995.2821731567384,0.0004451,0.01045985,0.9,0.0
few_shot,Q1,voda,5953,143,6096,1428.703546524048,0.0006525,0.01533375,1.0,0.0
chain_of_thought,Q1,voda,4024,139,4163,1129.8894882202148,0.000458,0.010763,0.9,0.0909090909090909
zero_shot,Q1,voda,3250,121,3371,1189.6705627441406,0.0003733999999999,0.0087748999999999,0.9,0.0
zero_shot_rules,Q1,voda,4086,118,4204,933.5322380065918,0.0004558,0.0107113,0.9523809523809524,0.0
few_shot,Q1,voda,6064,141,6205,1053.9321899414062,0.0006628,0.0155757999999999,0.8421052631578948,0.0
chain_of_thought,Q1,voda,4135,120,4255,959.5954418182372,0.0004615,0.01084525,0.9,0.0
zero_shot,Q2,voda,2902,123,3025,1107.534646987915,0.0003393999999999,0.0079759,0.7777777777777778,0.0
zero_shot_rules,Q2,voda,3738,121,3859,1054.1999340057373,0.0004222,0.0099217,0.7777777777777778,0.0
few_shot,Q2,voda,5716,141,5857,1055.3905963897705,0.000628,0.014758,0.8421052631578948,0.0
chain_of_thought,Q2,voda,3787,123,3910,963.8288021087646,0.0004279,0.01005565,0.8421052631578948,0.0
zero_shot,Q2,voda,5008,115,5123,1449.3494033813477,0.0005468,0.0128498,0.7777777777777778,0.0
zero_shot_rules,Q2,voda,5844,139,5983,1075.308084487915,0.00064,0.01504,0.7777777777777778,0.0
few_shot,Q2,voda,7822,143,7965,1588.0491733551023,0.0008394,0.0197259,0.9,0.0
chain_of_thought,Q2,voda,5893,130,6023,1075.4928588867188,0.0006413,0.01507055,0.7058823529411764,0.0
zero_shot,Q3,voda,1715,111,1826,1037.245273590088,0.0002159,0.00507365,0.4285714285714285,0.1818181818181818
zero_shot_rules,Q3,voda,2551,77,2628,1116.909742355347,0.0002859,0.00671865,0.0,1.0
few_shot,Q3,voda,4529,115,4644,984.6091270446776,0.0004989,0.01172415,0.4285714285714285,0.5454545454545454
chain_of_thought,Q3,voda,2600,77,2677,1222.0501899719238,0.0002908,0.0068338,0.0,1.0
